,QA,ANS,TAG
0,what movies are about [ginger rogers],Top Hat|Kitty Foyle|The Barkleys of Broadway,has_tags_inv
1,which movies can be described by [moore],Fahrenheit 9/11|Far from Heaven,has_tags_inv
2,what films can be described by [occupation],Red Dawn|The Teahouse of the August Moon,has_tags_inv
3,which films are about [jacques tati],Mon Oncle|Playtime|Trafic,has_tags_inv
4,what movies are about [donnie darko],S. Darko,has_tags_inv
5,what movies can be described with [ben stiller],Tropic Thunder|Meet the Parents|There's Something About Mary|Madagascar|The Secret Life of Walter Mitty|Night at the Museum|Meet the Fockers|The Royal Tenenbaums|Zoolander|The Cable Guy|Tower Heist|Along Came Polly|Little Fockers|The Heartbreak Kid|Keeping the Faith|Duplex|Reality Bites|Greenberg|Envy|Flirting with Disaster|Zero Effect,has_tags_inv
6,what films are about [dillinger],Public Enemies,has_tags_inv
7,what movies can be described with [chris noonan],Babe|Miss Potter,has_tags_inv
8,what movies are about [george pal],The Time Machine|7 Faces of Dr. Lao,has_tags_inv
9,what movies are about [rod lurie],The Last Castle|The Contender|Resurrecting the Champ,has_tags_inv
10,what movies can be described by [the melancholy of resistance],Werckmeister Harmonies,has_tags_inv
11,what movies are about [quebec],Black Robe|Polytechnique,has_tags_inv
12,what movies are about [planet],Aliens|Rise of the Planet of the Apes,has_tags_inv
13,what films are about [s.e. hinton],The Outsiders|That Was Then... This Is Now,has_tags_inv
14,what movies can be described by [carey mulligan],Drive|The Great Gatsby|Shame|An Education|Never Let Me Go|The Greatest,has_tags_inv
15,which films are about [steve oedekerk],Nothing to Lose,has_tags_inv
16,which movies can be described by [teenagers],Kids|Ken Park|Kidulthood|Remember the Daze,has_tags_inv
17,what films are about [80s],Big|Flashdance|Some Kind of Wonderful|The Monster Squad,has_tags_inv
18,what films can be described by [juzo itami],Tampopo|A Taxing Woman|The Funeral,has_tags_inv
19,which films can be described by [artist],Vicky Cristina Barcelona|Andrei Rublev|Basquiat|The Horse's Mouth,has_tags_inv
20,which movies are about [wayne wang],Smoke|The Joy Luck Club|Chan Is Missing,has_tags_inv
21,which films can be described by [william s. burroughs],Naked Lunch,has_tags_inv
22,which films are about [clowns],Killer Klowns from Outer Space|Shakes the Clown,has_tags_inv
23,which movies can be described by [cary elwes],Saw|Georgia Rule|The Crush|Hellgate,has_tags_inv
24,which films can be described by [society],Lost in Beijing,has_tags_inv
25,what movies can be described with [sidney franklin],The Good Earth|The Barretts of Wimpole Street|Private Lives|Smilin' Through|The Dark Angel,has_tags_inv
