,QA,Original,Predicted
0,what does [Grégoire Colin] appear in,starred_actors_inv,starred_actors_inv
1,[Joe Thomas] appears in which movies,starred_actors_inv,starred_actors_inv
2,what films did [Michelle Trachtenberg] star in,starred_actors_inv,starred_actors_inv
3,what does [Helen Mack] star in,starred_actors_inv,starred_actors_inv
4,what films did [Shahid Kapoor] act in,starred_actors_inv,starred_actors_inv
5,[Brendan Gleeson] appears in which movies,starred_actors_inv,starred_actors_inv
6,what films does [Paresh Rawal] appear in,starred_actors_inv,starred_actors_inv
7,what does [Doug Collins] star in,starred_actors_inv,starred_actors_inv
8,what films does [Brigitte Nielsen] appear in,starred_actors_inv,starred_actors_inv
9,[Mona McKinnon] appears in which movies,starred_actors_inv,starred_actors_inv
10,what films did [Christina Ricci] act in,starred_actors_inv,starred_actors_inv
11,[Brian Backer] appears in which movies,starred_actors_inv,starred_actors_inv
12,what films does [William Atherton] appear in,starred_actors_inv,starred_actors_inv
13,what does [Jeremy Piven] act in,starred_actors_inv,starred_actors_inv
14,what films did [Roger Bart] star in,starred_actors_inv,starred_actors_inv
15,[Ruggero Raimondi] appears in which movies,starred_actors_inv,starred_actors_inv
16,what films did [Robert Strauss] act in,starred_actors_inv,starred_actors_inv
17,what films did [Aleksandr Gordon] act in,starred_actors_inv,starred_actors_inv
18,what does [Stephen Furst] act in,starred_actors_inv,starred_actors_inv
19,what does [Hiromi Nagasaku] star in,starred_actors_inv,starred_actors_inv
20,what films does [Claude Akins] appear in,starred_actors_inv,starred_actors_inv
21,what films did [Arjun Rampal] act in,starred_actors_inv,starred_actors_inv
22,what movies was [Chris O'Donnell] an actor in,starred_actors_inv,starred_actors_inv
23,what does [May Robson] act in,starred_actors_inv,starred_actors_inv
24,what films did [Melvin Van Peebles] star in,starred_actors_inv,starred_actors_inv
25,what does [Tannishtha Chatterjee] appear in,starred_actors_inv,starred_actors_inv
26,what movies was [Michael Tully] an actor in,starred_actors_inv,starred_actors_inv
27,what movies was [Dan Petronijevic] an actor in,starred_actors_inv,starred_actors_inv
28,what films did [Phil Silvers] act in,starred_actors_inv,starred_actors_inv
29,what films does [James B. Schwartz] appear in,starred_actors_inv,starred_actors_inv
30,what films did [Piolo Pascual] star in,starred_actors_inv,starred_actors_inv
31,what movies was [Eiji Funakoshi] an actor in,starred_actors_inv,starred_actors_inv
32,what films does [Richard Roundtree] appear in,starred_actors_inv,starred_actors_inv
